05978	奸	CJK UNIFIED IDEOGRAPH-5978
060c7	惇	CJK UNIFIED IDEOGRAPH-60C7
074f7	瓷	CJK UNIFIED IDEOGRAPH-74F7
05b87	宇	CJK UNIFIED IDEOGRAPH-5B87
087d0	蟐	CJK UNIFIED IDEOGRAPH-87D0
06050	恐	CJK UNIFIED IDEOGRAPH-6050
093c8	鏈	CJK UNIFIED IDEOGRAPH-93C8
06736	朶	CJK UNIFIED IDEOGRAPH-6736
0520e	刎	CJK UNIFIED IDEOGRAPH-520E
05bc7	寇	CJK UNIFIED IDEOGRAPH-5BC7
07db0	綰	CJK UNIFIED IDEOGRAPH-7DB0
06905	椅	CJK UNIFIED IDEOGRAPH-6905
09c30	鰰	CJK UNIFIED IDEOGRAPH-9C30
07cd6	糖	CJK UNIFIED IDEOGRAPH-7CD6
069fd	槽	CJK UNIFIED IDEOGRAPH-69FD
08096	肖	CJK UNIFIED IDEOGRAPH-8096
05b5f	孟	CJK UNIFIED IDEOGRAPH-5B5F
05ee1	廡	CJK UNIFIED IDEOGRAPH-5EE1
04ffa	俺	CJK UNIFIED IDEOGRAPH-4FFA
05b78	學	CJK UNIFIED IDEOGRAPH-5B78
07d5e	絞	CJK UNIFIED IDEOGRAPH-7D5E
07ce2	糢	CJK UNIFIED IDEOGRAPH-7CE2
09c24	鰤	CJK UNIFIED IDEOGRAPH-9C24
09da9	鶩	CJK UNIFIED IDEOGRAPH-9DA9
05bb3	害	CJK UNIFIED IDEOGRAPH-5BB3
05e2d	席	CJK UNIFIED IDEOGRAPH-5E2D
07dbf	綿	CJK UNIFIED IDEOGRAPH-7DBF
07c21	簡	CJK UNIFIED IDEOGRAPH-7C21
06939	椹	CJK UNIFIED IDEOGRAPH-6939
0690c	椌	CJK UNIFIED IDEOGRAPH-690C
09dc1	鷁	CJK UNIFIED IDEOGRAPH-9DC1
05e36	帶	CJK UNIFIED IDEOGRAPH-5E36
09ce7	鳧	CJK UNIFIED IDEOGRAPH-9CE7
069f2	槲	CJK UNIFIED IDEOGRAPH-69F2
04f0f	伏	CJK UNIFIED IDEOGRAPH-4F0F
07dcb	緋	CJK UNIFIED IDEOGRAPH-7DCB
065d7	旗	CJK UNIFIED IDEOGRAPH-65D7
09149	酉	CJK UNIFIED IDEOGRAPH-9149
07164	煤	CJK UNIFIED IDEOGRAPH-7164
0652f	支	CJK UNIFIED IDEOGRAPH-652F
062b1	抱	CJK UNIFIED IDEOGRAPH-62B1
091a2	醢	CJK UNIFIED IDEOGRAPH-91A2
082bb	芻	CJK UNIFIED IDEOGRAPH-82BB
0653b	攻	CJK UNIFIED IDEOGRAPH-653B
062c5	担	CJK UNIFIED IDEOGRAPH-62C5
096f0	雰	CJK UNIFIED IDEOGRAPH-96F0
07f9d	羝	CJK UNIFIED IDEOGRAPH-7F9D
085dd	藝	CJK UNIFIED IDEOGRAPH-85DD
06e98	溘	CJK UNIFIED IDEOGRAPH-6E98
09175	酵	CJK UNIFIED IDEOGRAPH-9175
0825a	艚	CJK UNIFIED IDEOGRAPH-825A
07f86	羆	CJK UNIFIED IDEOGRAPH-7F86
0760d	瘍	CJK UNIFIED IDEOGRAPH-760D
057a4	垤	CJK UNIFIED IDEOGRAPH-57A4
05029	倩	CJK UNIFIED IDEOGRAPH-5029
0852c	蔬	CJK UNIFIED IDEOGRAPH-852C
06534	攴	CJK UNIFIED IDEOGRAPH-6534
062cc	拌	CJK UNIFIED IDEOGRAPH-62CC
05983	妃	CJK UNIFIED IDEOGRAPH-5983
0576a	坪	CJK UNIFIED IDEOGRAPH-576A
05968	奨	CJK UNIFIED IDEOGRAPH-5968
098ee	飮	CJK UNIFIED IDEOGRAPH-98EE
07f79	罹	CJK UNIFIED IDEOGRAPH-7F79
07f4c	罌	CJK UNIFIED IDEOGRAPH-7F4C
06e67	湧	CJK UNIFIED IDEOGRAPH-6E67
09f54	齔	CJK UNIFIED IDEOGRAPH-9F54
07a2e	種	CJK UNIFIED IDEOGRAPH-7A2E
09834	頴	CJK UNIFIED IDEOGRAPH-9834
08ea1	躡	CJK UNIFIED IDEOGRAPH-8EA1
07fb2	羲	CJK UNIFIED IDEOGRAPH-7FB2
07fc6	翆	CJK UNIFIED IDEOGRAPH-7FC6
07ae0	章	CJK UNIFIED IDEOGRAPH-7AE0
0594f	奏	CJK UNIFIED IDEOGRAPH-594F
08e76	蹶	CJK UNIFIED IDEOGRAPH-8E76
07f45	罅	CJK UNIFIED IDEOGRAPH-7F45
05954	奔	CJK UNIFIED IDEOGRAPH-5954
07825	砥	CJK UNIFIED IDEOGRAPH-7825
08b10	謐	CJK UNIFIED IDEOGRAPH-8B10
0983b	頻	CJK UNIFIED IDEOGRAPH-983B
09808	須	CJK UNIFIED IDEOGRAPH-9808
08b04	謄	CJK UNIFIED IDEOGRAPH-8B04
07a37	稷	CJK UNIFIED IDEOGRAPH-7A37
07aef	端	CJK UNIFIED IDEOGRAPH-7AEF
07f51	网	CJK UNIFIED IDEOGRAPH-7F51
09f4f	齏	CJK UNIFIED IDEOGRAPH-9F4F
06e7e	湾	CJK UNIFIED IDEOGRAPH-6E7E
06291	抑	CJK UNIFIED IDEOGRAPH-6291
09ad1	髑	CJK UNIFIED IDEOGRAPH-9AD1
059d0	姐	CJK UNIFIED IDEOGRAPH-59D0
07fe1	翡	CJK UNIFIED IDEOGRAPH-7FE1
0659f	斟	CJK UNIFIED IDEOGRAPH-659F
078c1	磁	CJK UNIFIED IDEOGRAPH-78C1
07ac7	竇	CJK UNIFIED IDEOGRAPH-7AC7
0592a	太	CJK UNIFIED IDEOGRAPH-592A
0593e	夾	CJK UNIFIED IDEOGRAPH-593E
078b5	碵	CJK UNIFIED IDEOGRAPH-78B5
07fd5	翕	CJK UNIFIED IDEOGRAPH-7FD5
06b66	武	CJK UNIFIED IDEOGRAPH-6B66
09a55	驕	CJK UNIFIED IDEOGRAPH-9A55
07a50	穐	CJK UNIFIED IDEOGRAPH-7A50
08efd	軽	CJK UNIFIED IDEOGRAPH-8EFD
06590	斐	CJK UNIFIED IDEOGRAPH-6590
05099	備	CJK UNIFIED IDEOGRAPH-5099
06e1b	減	CJK UNIFIED IDEOGRAPH-6E1B
07aca	竊	CJK UNIFIED IDEOGRAPH-7ACA
09f3e	鼾	CJK UNIFIED IDEOGRAPH-9F3E
078bc	碼	CJK UNIFIED IDEOGRAPH-78BC
078a9	碩	CJK UNIFIED IDEOGRAPH-78A9
098c4	飄	CJK UNIFIED IDEOGRAPH-98C4
059eb	姫	CJK UNIFIED IDEOGRAPH-59EB
08b77	護	CJK UNIFIED IDEOGRAPH-8B77
0985e	類	CJK UNIFIED IDEOGRAPH-985E
0859c	薜	CJK UNIFIED IDEOGRAPH-859C
06ef7	滷	CJK UNIFIED IDEOGRAPH-6EF7
09a69	驩	CJK UNIFIED IDEOGRAPH-9A69
0655e	敞	CJK UNIFIED IDEOGRAPH-655E
082de	苞	CJK UNIFIED IDEOGRAPH-82DE
057fa	基	CJK UNIFIED IDEOGRAPH-57FA
05700	圀	CJK UNIFIED IDEOGRAPH-5700
085a9	薩	CJK UNIFIED IDEOGRAPH-85A9
065c4	旄	CJK UNIFIED IDEOGRAPH-65C4
06209	戉	CJK UNIFIED IDEOGRAPH-6209
065b0	新	CJK UNIFIED IDEOGRAPH-65B0
096a3	隣	CJK UNIFIED IDEOGRAPH-96A3
050ac	催	CJK UNIFIED IDEOGRAPH-50AC
05072	偲	CJK UNIFIED IDEOGRAPH-5072
071fb	燻	CJK UNIFIED IDEOGRAPH-71FB
057f7	執	CJK UNIFIED IDEOGRAPH-57F7
07895	碕	CJK UNIFIED IDEOGRAPH-7895
062ed	拭	CJK UNIFIED IDEOGRAPH-62ED
082d3	苓	CJK UNIFIED IDEOGRAPH-82D3
07a93	窓	CJK UNIFIED IDEOGRAPH-7A93
0711a	焚	CJK UNIFIED IDEOGRAPH-711A
0822b	舫	CJK UNIFIED IDEOGRAPH-822B
08218	舘	CJK UNIFIED IDEOGRAPH-8218
065cb	旋	CJK UNIFIED IDEOGRAPH-65CB
0570f	圏	CJK UNIFIED IDEOGRAPH-570F
05728	在	CJK UNIFIED IDEOGRAPH-5728
085c1	藁	CJK UNIFIED IDEOGRAPH-85C1
065bf	斿	CJK UNIFIED IDEOGRAPH-65BF
06221	戡	CJK UNIFIED IDEOGRAPH-6221
09112	鄒	CJK UNIFIED IDEOGRAPH-9112
07881	碁	CJK UNIFIED IDEOGRAPH-7881
082e7	苧	CJK UNIFIED IDEOGRAPH-82E7
0766c	癬	CJK UNIFIED IDEOGRAPH-766C
0507d	偽	CJK UNIFIED IDEOGRAPH-507D
07cc5	糅	CJK UNIFIED IDEOGRAPH-7CC5
0896a	襪	CJK UNIFIED IDEOGRAPH-896A
0679d	枝	CJK UNIFIED IDEOGRAPH-679D
05bd4	寔	CJK UNIFIED IDEOGRAPH-5BD4
05e4c	幌	CJK UNIFIED IDEOGRAPH-5E4C
05e79	幹	CJK UNIFIED IDEOGRAPH-5E79
04f73	佳	CJK UNIFIED IDEOGRAPH-4F73
09c57	鱗	CJK UNIFIED IDEOGRAPH-9C57
0897e	襾	CJK UNIFIED IDEOGRAPH-897E
06962	楢	CJK UNIFIED IDEOGRAPH-6962
07d2f	累	CJK UNIFIED IDEOGRAPH-7D2F
07cb1	粱	CJK UNIFIED IDEOGRAPH-7CB1
04fab	侫	CJK UNIFIED IDEOGRAPH-4FAB
09d2c	鴬	CJK UNIFIED IDEOGRAPH-9D2C
05bdb	寛	CJK UNIFIED IDEOGRAPH-5BDB
05e45	幅	CJK UNIFIED IDEOGRAPH-5E45
09c5a	鱚	CJK UNIFIED IDEOGRAPH-9C5A
09de6	鷦	CJK UNIFIED IDEOGRAPH-9DE6
07dda	線	CJK UNIFIED IDEOGRAPH-7DDA
0696d	業	CJK UNIFIED IDEOGRAPH-696D
07d20	素	CJK UNIFIED IDEOGRAPH-7D20
0603a	怺	CJK UNIFIED IDEOGRAPH-603A
067c6	柆	CJK UNIFIED IDEOGRAPH-67C6
087ba	螺	CJK UNIFIED IDEOGRAPH-87BA
05264	剤	CJK UNIFIED IDEOGRAPH-5264
07473	瑳	CJK UNIFIED IDEOGRAPH-7473
060e0	惠	CJK UNIFIED IDEOGRAPH-60E0
08998	覘	CJK UNIFIED IDEOGRAPH-8998
05270	剰	CJK UNIFIED IDEOGRAPH-5270
052aa	努	CJK UNIFIED IDEOGRAPH-52AA
05516	唖	CJK UNIFIED IDEOGRAPH-5516
07329	猩	CJK UNIFIED IDEOGRAPH-7329
0731c	猜	CJK UNIFIED IDEOGRAPH-731C
0747e	瑾	CJK UNIFIED IDEOGRAPH-747E
09462	鑢	CJK UNIFIED IDEOGRAPH-9462
06751	村	CJK UNIFIED IDEOGRAPH-6751
04f98	侘	CJK UNIFIED IDEOGRAPH-4F98
0527f	剿	CJK UNIFIED IDEOGRAPH-527F
08768	蝨	CJK UNIFIED IDEOGRAPH-8768
0746a	瑪	CJK UNIFIED IDEOGRAPH-746A
080e5	胥	CJK UNIFIED IDEOGRAPH-80E5
09310	錐	CJK UNIFIED IDEOGRAPH-9310
0803d	耽	CJK UNIFIED IDEOGRAPH-803D
05de6	左	CJK UNIFIED IDEOGRAPH-5DE6
06802	栂	CJK UNIFIED IDEOGRAPH-6802
05d19	崙	CJK UNIFIED IDEOGRAPH-5D19
06816	栖	CJK UNIFIED IDEOGRAPH-6816
09b23	鬣	CJK UNIFIED IDEOGRAPH-9B23
09bdb	鯛	CJK UNIFIED IDEOGRAPH-9BDB
07be5	篥	CJK UNIFIED IDEOGRAPH-7BE5
05dd2	巒	CJK UNIFIED IDEOGRAPH-5DD2
05c4e	屎	CJK UNIFIED IDEOGRAPH-5C4E
06f6d	潭	CJK UNIFIED IDEOGRAPH-6F6D
088d8	裘	CJK UNIFIED IDEOGRAPH-88D8
07b26	符	CJK UNIFIED IDEOGRAPH-7B26
06a0b	樋	CJK UNIFIED IDEOGRAPH-6A0B
06a38	樸	CJK UNIFIED IDEOGRAPH-6A38
06fa1	澡	CJK UNIFIED IDEOGRAPH-6FA1
06a1f	樟	CJK UNIFIED IDEOGRAPH-6A1F
09b2e	鬮	CJK UNIFIED IDEOGRAPH-9B2E
05cbb	岻	CJK UNIFIED IDEOGRAPH-5CBB
05ca8	岨	CJK UNIFIED IDEOGRAPH-5CA8
09e79	鹹	CJK UNIFIED IDEOGRAPH-9E79
09bd4	鯔	CJK UNIFIED IDEOGRAPH-9BD4
06194	憔	CJK UNIFIED IDEOGRAPH-6194
07e54	織	CJK UNIFIED IDEOGRAPH-7E54
07261	牡	CJK UNIFIED IDEOGRAPH-7261
086ee	蛮	CJK UNIFIED IDEOGRAPH-86EE
075ff	痿	CJK UNIFIED IDEOGRAPH-75FF
07e8e	纎	CJK UNIFIED IDEOGRAPH-7E8E
09e92	麒	CJK UNIFIED IDEOGRAPH-9E92
0614e	慎	CJK UNIFIED IDEOGRAPH-614E
05476	呶	CJK UNIFIED IDEOGRAPH-5476
05310	匐	CJK UNIFIED IDEOGRAPH-5310
07513	甓	CJK UNIFIED IDEOGRAPH-7513
054c9	哉	CJK UNIFIED IDEOGRAPH-54C9
08146	腆	CJK UNIFIED IDEOGRAPH-8146
075d8	痘	CJK UNIFIED IDEOGRAPH-75D8
066e6	曦	CJK UNIFIED IDEOGRAPH-66E6
0615a	慚	CJK UNIFIED IDEOGRAPH-615A
05c94	岔	CJK UNIFIED IDEOGRAPH-5C94
075f0	痰	CJK UNIFIED IDEOGRAPH-75F0
07e83	纃	CJK UNIFIED IDEOGRAPH-7E83
066dd	曝	CJK UNIFIED IDEOGRAPH-66DD
09e9d	麝	CJK UNIFIED IDEOGRAPH-9E9D
06625	春	CJK UNIFIED IDEOGRAPH-6625
072a2	犢	CJK UNIFIED IDEOGRAPH-72A2
0862f	蘯	CJK UNIFIED IDEOGRAPH-862F
0751e	甞	CJK UNIFIED IDEOGRAPH-751E
09264	鉤	CJK UNIFIED IDEOGRAPH-9264
053f3	右	CJK UNIFIED IDEOGRAPH-53F3
04e11	丑	CJK UNIFIED IDEOGRAPH-4E11
05ac2	嫂	CJK UNIFIED IDEOGRAPH-5AC2
05f3e	弾	CJK UNIFIED IDEOGRAPH-5F3E
08393	莓	CJK UNIFIED IDEOGRAPH-8393
099f8	駸	CJK UNIFIED IDEOGRAPH-99F8
079d5	秕	CJK UNIFIED IDEOGRAPH-79D5
05fe4	忤	CJK UNIFIED IDEOGRAPH-5FE4
0585e	塞	CJK UNIFIED IDEOGRAPH-585E
0584a	塊	CJK UNIFIED IDEOGRAPH-584A
08387	莇	CJK UNIFIED IDEOGRAPH-8387
099df	駟	CJK UNIFIED IDEOGRAPH-99DF
079e1	秡	CJK UNIFIED IDEOGRAPH-79E1
06cd9	泙	CJK UNIFIED IDEOGRAPH-6CD9
06d74	浴	CJK UNIFIED IDEOGRAPH-6D74
0993e	餾	CJK UNIFIED IDEOGRAPH-993E
05ff8	忸	CJK UNIFIED IDEOGRAPH-5FF8
05feb	快	CJK UNIFIED IDEOGRAPH-5FEB
08d71	赱	CJK UNIFIED IDEOGRAPH-8D71
0839e	莞	CJK UNIFIED IDEOGRAPH-839E
06cf1	泱	CJK UNIFIED IDEOGRAPH-6CF1
099d0	駐	CJK UNIFIED IDEOGRAPH-99D0
08cfb	賻	CJK UNIFIED IDEOGRAPH-8CFB
0838a	莊	CJK UNIFIED IDEOGRAPH-838A
06396	掖	CJK UNIFIED IDEOGRAPH-6396
05a41	婁	CJK UNIFIED IDEOGRAPH-5A41
04ef2	仲	CJK UNIFIED IDEOGRAPH-4EF2
04e39	丹	CJK UNIFIED IDEOGRAPH-4E39
05f27	弧	CJK UNIFIED IDEOGRAPH-5F27
070c8	烈	CJK UNIFIED IDEOGRAPH-70C8
083ca	菊	CJK UNIFIED IDEOGRAPH-83CA
05112	儒	CJK UNIFIED IDEOGRAPH-5112
056ae	嚮	CJK UNIFIED IDEOGRAPH-56AE
0589f	墟	CJK UNIFIED IDEOGRAPH-589F
05674	噴	CJK UNIFIED IDEOGRAPH-5674
0907d	遽	CJK UNIFIED IDEOGRAPH-907D
08350	荐	CJK UNIFIED IDEOGRAPH-8350
07063	灣	CJK UNIFIED IDEOGRAPH-7063
06369	捩	CJK UNIFIED IDEOGRAPH-6369
0635c	捜	CJK UNIFIED IDEOGRAPH-635C
08422	萢	CJK UNIFIED IDEOGRAPH-8422
070af	炯	CJK UNIFIED IDEOGRAPH-70AF
0970f	霏	CJK UNIFIED IDEOGRAPH-970F
0643e	搾	CJK UNIFIED IDEOGRAPH-643E
0770c	県	CJK UNIFIED IDEOGRAPH-770C
09072	遲	CJK UNIFIED IDEOGRAPH-9072
051f1	凱	CJK UNIFIED IDEOGRAPH-51F1
06355	捕	CJK UNIFIED IDEOGRAPH-6355
09700	需	CJK UNIFIED IDEOGRAPH-9700
064ec	擬	CJK UNIFIED IDEOGRAPH-64EC
051f0	凰	CJK UNIFIED IDEOGRAPH-51F0
05885	墅	CJK UNIFIED IDEOGRAPH-5885
0771f	真	CJK UNIFIED IDEOGRAPH-771F
06426	搦	CJK UNIFIED IDEOGRAPH-6426
090b8	邸	CJK UNIFIED IDEOGRAPH-90B8
07738	眸	CJK UNIFIED IDEOGRAPH-7738
0770b	看	CJK UNIFIED IDEOGRAPH-770B
056a2	嚢	CJK UNIFIED IDEOGRAPH-56A2
077f3	石	CJK UNIFIED IDEOGRAPH-77F3
08345	荅	CJK UNIFIED IDEOGRAPH-8345
097f6	韶	CJK UNIFIED IDEOGRAPH-97F6
06368	捨	CJK UNIFIED IDEOGRAPH-6368
063c3	揃	CJK UNIFIED IDEOGRAPH-63C3
083bd	莽	CJK UNIFIED IDEOGRAPH-83BD
0971c	霜	CJK UNIFIED IDEOGRAPH-971C
07704	眄	CJK UNIFIED IDEOGRAPH-7704
0634f	捏	CJK UNIFIED IDEOGRAPH-634F
05a9a	媚	CJK UNIFIED IDEOGRAPH-5A9A
05a40	婀	CJK UNIFIED IDEOGRAPH-5A40
08cfc	購	CJK UNIFIED IDEOGRAPH-8CFC
07089	炉	CJK UNIFIED IDEOGRAPH-7089
099d1	駑	CJK UNIFIED IDEOGRAPH-99D1
08d64	赤	CJK UNIFIED IDEOGRAPH-8D64
05f26	弦	CJK UNIFIED IDEOGRAPH-5F26
04e38	丸	CJK UNIFIED IDEOGRAPH-4E38
04e0b	下	CJK UNIFIED IDEOGRAPH-4E0B
058cc	壌	CJK UNIFIED IDEOGRAPH-58CC
0993d	餽	CJK UNIFIED IDEOGRAPH-993D
06383	掃	CJK UNIFIED IDEOGRAPH-6383
06cf0	泰	CJK UNIFIED IDEOGRAPH-6CF0
08d70	走	CJK UNIFIED IDEOGRAPH-8D70
05852	塒	CJK UNIFIED IDEOGRAPH-5852
08d6b	赫	CJK UNIFIED IDEOGRAPH-8D6B
06c13	氓	CJK UNIFIED IDEOGRAPH-6C13
058c5	壅	CJK UNIFIED IDEOGRAPH-58C5
04e10	丐	CJK UNIFIED IDEOGRAPH-4E10
0638e	掎	CJK UNIFIED IDEOGRAPH-638E
081b0	膰	CJK UNIFIED IDEOGRAPH-81B0
05339	匹	CJK UNIFIED IDEOGRAPH-5339
053f2	史	CJK UNIFIED IDEOGRAPH-53F2
07e96	纖	CJK UNIFIED IDEOGRAPH-7E96
07248	版	CJK UNIFIED IDEOGRAPH-7248
06142	慂	CJK UNIFIED IDEOGRAPH-6142
09271	鉱	CJK UNIFIED IDEOGRAPH-9271
07e82	纂	CJK UNIFIED IDEOGRAPH-7E82
061a9	憩	CJK UNIFIED IDEOGRAPH-61A9
05305	包	CJK UNIFIED IDEOGRAPH-5305
054c8	哈	CJK UNIFIED IDEOGRAPH-54C8
081bf	膿	CJK UNIFIED IDEOGRAPH-81BF
0663f	昿	CJK UNIFIED IDEOGRAPH-663F
075d9	痙	CJK UNIFIED IDEOGRAPH-75D9
07274	牴	CJK UNIFIED IDEOGRAPH-7274
05477	呷	CJK UNIFIED IDEOGRAPH-5477
0614d	慍	CJK UNIFIED IDEOGRAPH-614D
09e93	麓	CJK UNIFIED IDEOGRAPH-9E93
086ed	蛭	CJK UNIFIED IDEOGRAPH-86ED
08153	腓	CJK UNIFIED IDEOGRAPH-8153
054af	咯	CJK UNIFIED IDEOGRAPH-54AF
05ca9	岩	CJK UNIFIED IDEOGRAPH-5CA9
05cbc	岼	CJK UNIFIED IDEOGRAPH-5CBC
08a00	言	CJK UNIFIED IDEOGRAPH-8A00
07b33	笳	CJK UNIFIED IDEOGRAPH-7B33
07e55	繕	CJK UNIFIED IDEOGRAPH-7E55
08afa	諺	CJK UNIFIED IDEOGRAPH-8AFA
09e78	鹸	CJK UNIFIED IDEOGRAPH-9E78
06f7a	潺	CJK UNIFIED IDEOGRAPH-6F7A
05dde	州	CJK UNIFIED IDEOGRAPH-5DDE
07e41	繁	CJK UNIFIED IDEOGRAPH-7E41
088d9	裙	CJK UNIFIED IDEOGRAPH-88D9
09be1	鯡	CJK UNIFIED IDEOGRAPH-9BE1
06f6e	潮	CJK UNIFIED IDEOGRAPH-6F6E
06a39	樹	CJK UNIFIED IDEOGRAPH-6A39
06a0c	樌	CJK UNIFIED IDEOGRAPH-6A0C
09b22	鬢	CJK UNIFIED IDEOGRAPH-9B22
09ebe	麾	CJK UNIFIED IDEOGRAPH-9EBE
06817	栗	CJK UNIFIED IDEOGRAPH-6817
05d18	崘	CJK UNIFIED IDEOGRAPH-5D18
05c4d	屍	CJK UNIFIED IDEOGRAPH-5C4D
05dd3	巓	CJK UNIFIED IDEOGRAPH-5DD3
07e69	繩	CJK UNIFIED IDEOGRAPH-7E69
08af7	諷	CJK UNIFIED IDEOGRAPH-8AF7
07be4	篤	CJK UNIFIED IDEOGRAPH-7BE4
05de7	巧	CJK UNIFIED IDEOGRAPH-5DE7
06a05	樅	CJK UNIFIED IDEOGRAPH-6A05
08a1b	訛	CJK UNIFIED IDEOGRAPH-8A1B
06803	栃	CJK UNIFIED IDEOGRAPH-6803
09477	鑷	CJK UNIFIED IDEOGRAPH-9477
060dc	惜	CJK UNIFIED IDEOGRAPH-60DC
080e4	胤	CJK UNIFIED IDEOGRAPH-80E4
0731b	猛	CJK UNIFIED IDEOGRAPH-731B
067ca	柊	CJK UNIFIED IDEOGRAPH-67CA
05e87	庇	CJK UNIFIED IDEOGRAPH-5E87
06750	材	CJK UNIFIED IDEOGRAPH-6750
07c90	粐	CJK UNIFIED IDEOGRAPH-7C90
05271	剱	CJK UNIFIED IDEOGRAPH-5271
07c8b	粋	CJK UNIFIED IDEOGRAPH-7C8B
080f8	胸	CJK UNIFIED IDEOGRAPH-80F8
08755	蝕	CJK UNIFIED IDEOGRAPH-8755
067b3	枳	CJK UNIFIED IDEOGRAPH-67B3
0675f	束	CJK UNIFIED IDEOGRAPH-675F
060e1	惡	CJK UNIFIED IDEOGRAPH-60E1
07c9f	粟	CJK UNIFIED IDEOGRAPH-7C9F
05e8a	床	CJK UNIFIED IDEOGRAPH-5E8A
05265	剥	CJK UNIFIED IDEOGRAPH-5265
0696e	楮	CJK UNIFIED IDEOGRAPH-696E
06787	枇	CJK UNIFIED IDEOGRAPH-6787
08972	襲	CJK UNIFIED IDEOGRAPH-8972
09d3f	鴿	CJK UNIFIED IDEOGRAPH-9D3F
089ac	覬	CJK UNIFIED IDEOGRAPH-89AC
07d21	紡	CJK UNIFIED IDEOGRAPH-7D21
05eca	廊	CJK UNIFIED IDEOGRAPH-5ECA
05b36	嬶	CJK UNIFIED IDEOGRAPH-5B36
05b22	嬢	CJK UNIFIED IDEOGRAPH-5B22
09d2b	鴫	CJK UNIFIED IDEOGRAPH-9D2B
069a0	榠	CJK UNIFIED IDEOGRAPH-69A0
07d35	紵	CJK UNIFIED IDEOGRAPH-7D35
0878d	融	CJK UNIFIED IDEOGRAPH-878D
09dd3	鷓	CJK UNIFIED IDEOGRAPH-9DD3
08966	襦	CJK UNIFIED IDEOGRAPH-8966
05e44	幄	CJK UNIFIED IDEOGRAPH-5E44
05e5f	幟	CJK UNIFIED IDEOGRAPH-5E5F
05be1	寡	CJK UNIFIED IDEOGRAPH-5BE1
05e78	幸	CJK UNIFIED IDEOGRAPH-5E78
06977	楷	CJK UNIFIED IDEOGRAPH-6977
08782	螂	CJK UNIFIED IDEOGRAPH-8782
06220	戠	CJK UNIFIED IDEOGRAPH-6220
0571c	圜	CJK UNIFIED IDEOGRAPH-571C
0855a	蕚	CJK UNIFIED IDEOGRAPH-855A
07658	癘	CJK UNIFIED IDEOGRAPH-7658
071f5	燵	CJK UNIFIED IDEOGRAPH-71F5
082e6	苦	CJK UNIFIED IDEOGRAPH-82E6
06b98	殘	CJK UNIFIED IDEOGRAPH-6B98
091d8	釘	CJK UNIFIED IDEOGRAPH-91D8
09675	陵	CJK UNIFIED IDEOGRAPH-9675
0854e	蕎	CJK UNIFIED IDEOGRAPH-854E
07a92	窒	CJK UNIFIED IDEOGRAPH-7A92
082d2	苒	CJK UNIFIED IDEOGRAPH-82D2
062ee	拮	CJK UNIFIED IDEOGRAPH-62EE
091ff	釿	CJK UNIFIED IDEOGRAPH-91FF
057f6	埶	CJK UNIFIED IDEOGRAPH-57F6
06234	戴	CJK UNIFIED IDEOGRAPH-6234
065cc	旌	CJK UNIFIED IDEOGRAPH-65CC
0822c	般	CJK UNIFIED IDEOGRAPH-822C
0622f	戯	CJK UNIFIED IDEOGRAPH-622F
085cf	藏	CJK UNIFIED IDEOGRAPH-85CF
08557	蕗	CJK UNIFIED IDEOGRAPH-8557
071fc	燼	CJK UNIFIED IDEOGRAPH-71FC
062d7	拗	CJK UNIFIED IDEOGRAPH-62D7
07670	癰	CJK UNIFIED IDEOGRAPH-7670
08543	蕃	CJK UNIFIED IDEOGRAPH-8543
0655d	敝	CJK UNIFIED IDEOGRAPH-655D
0623b	戻	CJK UNIFIED IDEOGRAPH-623B
06208	戈	CJK UNIFIED IDEOGRAPH-6208
065c5	旅	CJK UNIFIED IDEOGRAPH-65C5
085a8	薨	CJK UNIFIED IDEOGRAPH-85A8
05932	夲	CJK UNIFIED IDEOGRAPH-5932
08e10	踐	CJK UNIFIED IDEOGRAPH-8E10
06b6a	歪	CJK UNIFIED IDEOGRAPH-6B6A
09a5b	驛	CJK UNIFIED IDEOGRAPH-9A5B
0859b	薛	CJK UNIFIED IDEOGRAPH-859B
05098	傘	CJK UNIFIED IDEOGRAPH-5098
06591	斑	CJK UNIFIED IDEOGRAPH-6591
08efe	軾	CJK UNIFIED IDEOGRAPH-8EFE
098b1	颱	CJK UNIFIED IDEOGRAPH-98B1
06ba4	殤	CJK UNIFIED IDEOGRAPH-6BA4
06e29	温	CJK UNIFIED IDEOGRAPH-6E29
08e1f	踟	CJK UNIFIED IDEOGRAPH-8E1F
059e5	姥	CJK UNIFIED IDEOGRAPH-59E5
0658c	斌	CJK UNIFIED IDEOGRAPH-658C
07fd4	翔	CJK UNIFIED IDEOGRAPH-7FD4
08594	薔	CJK UNIFIED IDEOGRAPH-8594
07a79	穹	CJK UNIFIED IDEOGRAPH-7A79
09a40	驀	CJK UNIFIED IDEOGRAPH-9A40
06b73	歳	CJK UNIFIED IDEOGRAPH-6B73
07fe0	翠	CJK UNIFIED IDEOGRAPH-7FE0
08580	薀	CJK UNIFIED IDEOGRAPH-8580
09846	顆	CJK UNIFIED IDEOGRAPH-9846
059d1	姑	CJK UNIFIED IDEOGRAPH-59D1
07f3a	缺	CJK UNIFIED IDEOGRAPH-7F3A
06bab	殫	CJK UNIFIED IDEOGRAPH-6BAB
06e15	渕	CJK UNIFIED IDEOGRAPH-6E15
09688	隈	CJK UNIFIED IDEOGRAPH-9688
07ab0	窰	CJK UNIFIED IDEOGRAPH-7AB0
